Capital,UTC Offset
Warsaw,+0:00
London,+0:00
Paris,+0:00
Berlin,+0:00
Moscow,+3:00
New York,-5:00
Tokyo,+9:00
Beijing,+8:00
Canberra,+10:00
Brasília,-3:00
Ottawa,-5:00
Madrid,+0:00
Rome,+0:00
Athens,+2:00
Cairo,+2:00
Ankara,+3:00
Riyadh,+3:00
Tehran,+3:30
Delhi,+5:30
Bangkok,+7:00
Jakarta,+7:00
Singapore,+8:00
Seoul,+9:00
Hanoi,+7:00
Kuala Lumpur,+8:00
Baghdad,+3:00
Damascus,+2:00
Amman,+2:00
Beirut,+2:00
Tunis,+0:00
Algiers,+0:00
Rabat,+0:00
Pretoria,+2:00
Nairobi,+3:00
Accra,+0:00
Abuja,+0:00
Addis Ababa,+3:00
Harare,+2:00
Lusaka,+2:00
Manila,+8:00
Ulaanbaatar,+8:00
Pyongyang,+9:00
Bangui,+0:00
Kinshasa,+0:00
Dhaka,+6:00
Kabul,+4:30
Islamabad,+5:00
Kuwait City,+3:00
Doha,+3:00
Montevideo,-3:00
